rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59457.52547656,-2194.183625,49.1,7436.557659,-13.957208,57.369561,501.776093,0.338476,0.18044,0.450935,-4.56036
59457.529865149874,-2196.060486,46.64,7436.96563,-14.376171,57.360879,503.514172,0.33925,0.179849,0.4526,-4.558538
59457.53397462983,-2197.754134,44.35,7435.593249,-15.782268,57.370808,504.169939,0.340336,0.180182,0.453228,-4.557853
59457.53808774008,-2201.001914,42.05,7437.267324,-15.58131,57.373291,505.042693,0.339613,0.180294,0.454064,-4.556942
59457.54229441984,-2203.715847,39.69,7436.033428,-16.268744,57.379557,505.51012,0.33995,0.180532,0.454512,-4.556456
59457.546608590055,-2205.464693,37.28,7435.834745,-15.246701,57.376879,505.039024,0.340406,0.18057,0.45406,-4.556946
59457.55065413984,-2208.358403,35.02,7436.619277,-15.175926,57.37099,502.956637,0.339963,0.180322,0.452066,-4.559122
59457.55487282016,-2210.123085,32.66,7434.322346,-15.184116,57.380431,502.577423,0.33876,0.18024,0.451703,-4.559519
59457.559035310056,-2204.449301,30.33,7430.295988,-15.240554,57.427174,499.445713,0.338053,0.180235,0.448703,-4.562814
59457.56316563021,-2195.052737,28.02,7425.648136,-15.167487,57.469151,499.444986,0.33814,0.179827,0.448702,-4.562815
59457.56732515991,-2185.010626,25.69,7427.756033,-16.778164,57.473042,497.764145,0.336602,0.179787,0.447092,-4.564594
59457.57154222019,-2184.708457,23.34,7430.814028,-19.382025,57.425743,498.746537,0.337029,0.179935,0.448033,-4.563553
59457.57570890011,-2191.725264,21.01,7438.120272,-19.502638,57.341709,497.944691,0.336863,0.180164,0.447265,-4.564402
59457.57991098985,-2200.698183,18.66,7446.641037,-18.736757,57.268921,499.512071,0.338114,0.180285,0.448766,-4.562744
59457.58409831021,-2209.21857,16.31,7456.823409,-18.951727,57.20165,500.150739,0.337453,0.180247,0.449378,-4.56207
59457.58825480007,-2220.562229,13.99,7462.675504,-18.159171,57.162598,499.929687,0.338193,0.180435,0.449166,-4.562303
59457.59233831009,-2232.964823,11.71,7462.362172,-15.896249,57.158858,500.89668,0.338379,0.180342,0.450093,-4.561284
59457.59654576983,-2245.904722,9.35,7461.880192,-13.313984,57.17758,499.691661,0.337983,0.180445,0.448938,-4.562554
59457.60074514989,-2257.382108,7.0,7454.77347,-10.991505,57.222882,499.061919,0.337746,0.180286,0.448335,-4.563219
59457.604937059805,-2267.339389,4.66,7447.356166,-10.225286,57.300257,497.882254,0.338103,0.180269,0.447205,-4.564468
59457.60902340012,-2274.513609,2.38,7434.356346,-9.606442,57.396068,499.59558,0.338302,0.180224,0.448846,-4.562656
59457.613227319904,-2277.442363,0.02,7424.98464,-13.176649,57.483038,498.034923,0.338551,0.179773,0.447351,-4.564306
59457.61730693979,-2272.462175,-2.26,7424.960248,-16.291846,57.504548,498.216877,0.338265,0.180319,0.447526,-4.564114
59457.62168041989,-2262.545216,-4.7,7428.969777,-17.274364,57.477149,500.103636,0.33959,0.180657,0.449333,-4.56212
59457.62575525977,-2254.34692,-6.98,7434.084256,-16.124721,57.417647,501.905108,0.339197,0.181115,0.451059,-4.560224
59457.62996947998,-2252.512587,-9.34,7438.879049,-16.375761,57.368714,501.205544,0.339922,0.181115,0.450388,-4.560959
59457.6340728798,-2254.92864,-11.63,7437.160827,-16.574072,57.378629,501.480323,0.339608,0.18119,0.450652,-4.56067
59457.63829676015,-2256.681112,-14.0,7437.224355,-17.899397,57.377901,500.212898,0.338152,0.181374,0.449438,-4.562004
59457.64250118984,-2260.315847,-16.35,7437.104592,-17.474757,57.400871,499.050252,0.338063,0.18084,0.448324,-4.563232
59457.646698640194,-2262.546496,-18.69,7435.189547,-18.620362,57.436705,499.559796,0.337465,0.18118,0.448812,-4.562693
59457.65083735017,-2264.838218,-21.01,7435.403645,-16.406996,57.411168,499.693173,0.338804,0.180957,0.44894,-4.562553
59457.65513700014,-2266.555593,-23.41,7434.928866,-16.786089,57.395373,501.928901,0.338959,0.181437,0.451081,-4.560199
59457.65913672978,-2269.195828,-25.65,7439.376367,-16.356907,57.391896,501.180358,0.339248,0.180909,0.450364,-4.560986
59457.66342411982,-2270.749411,-28.05,7437.385388,-16.366003,57.39277,499.259549,0.338972,0.181205,0.448524,-4.563011
59457.66749064019,-2273.692395,-30.32,7437.698783,-15.751473,57.371429,498.943612,0.338667,0.18085,0.448222,-4.563345
59457.67174851988,-2275.505247,-32.7,7437.00733,-15.540462,57.377625,499.876548,0.338628,0.180988,0.449115,-4.562359
59457.675825729966,-2278.52311,-34.98,7437.037885,-16.767693,57.375787,498.77399,0.337342,0.180758,0.448059,-4.563524
59457.68005606998,-2281.18338,-37.35,7437.254772,-15.340763,57.385785,498.006998,0.33752,0.180788,0.447325,-4.564336
59457.68426311994,-2281.926397,-39.7,7438.751654,-16.142087,57.372416,496.156372,0.336943,0.181078,0.445552,-4.566302
59457.68838990014,-2284.226291,-42.01,7436.472817,-15.920974,57.396825,496.615725,0.336909,0.180436,0.445992,-4.565813
59457.69257631013,-2287.449772,-44.35,7436.562923,-16.636192,57.380427,497.13791,0.336773,0.180984,0.446492,-4.565258
59457.69676997978,-2289.240193,-46.7,7438.250579,-17.150291,57.369023,499.139754,0.338036,0.180709,0.44841,-4.563137
59457.70099066012,-2290.999971,-49.06,7438.368688,-16.386191,57.37539,496.900306,0.338076,0.180594,0.446265,-4.565511
